StaffID,Day,StartTime,EndTime,BreakTime
1,Wednesday,3:46:55,6:14:10,17:02:32
2,Wednesday,13:49:12,6:20:09,6:40:45
3,Wednesday,17:03:31,16:09:14,12:41:10
4,Thursday,0:38:18,6:53:47,16:02:19
5,Monday,14:28:05,8:57:09,21:29:08
6,Monday,6:56:11,7:50:07,22:52:22
7,Monday,16:54:55,1:53:24,0:58:48
8,Monday,1:00:40,15:26:33,2:39:37
9,Monday,7:59:08,2:03:59,9:54:04
10,Monday,23:04:00,11:56:52,16:50:34
11,Friday,22:10:37,17:00:50,2:13:24
12,Wednesday,19:59:37,12:57:32,23:38:46
13,Tuesday,6:56:03,21:57:04,17:13:21
14,Wednesday,10:49:04,2:53:23,6:28:21
15,Friday,13:46:18,2:08:21,1:15:36
16,Wednesday,11:14:19,22:12:14,2:29:08
17,Thursday,16:57:44,14:53:39,22:05:47
18,Monday,10:36:32,7:35:24,22:43:26
19,Monday,14:59:22,4:11:14,21:08:00
20,Thursday,8:06:25,5:24:21,20:19:37
21,Wednesday,17:26:46,14:17:00,3:16:18
22,Thursday,20:47:16,23:36:51,14:25:38
23,Thursday,17:39:51,23:06:14,19:45:32
24,Friday,22:31:25,9:14:17,5:43:17
25,Tuesday,5:03:58,17:15:13,23:36:57
26,Tuesday,13:23:46,15:45:15,7:32:33
27,Wednesday,6:18:58,3:06:03,13:22:06
28,Monday,15:48:19,18:10:47,9:07:01
29,Monday,1:10:41,7:55:39,0:08:26
30,Wednesday,11:34:48,23:03:06,4:49:00
31,Thursday,13:10:40,12:38:58,0:23:48
32,Wednesday,20:49:38,1:41:41,4:41:47
33,Thursday,5:29:03,9:26:22,6:49:49
34,Friday,6:53:29,4:45:53,0:57:40
35,Wednesday,2:13:14,6:33:03,17:32:10
36,Wednesday,11:11:25,22:18:17,9:09:57
37,Tuesday,2:47:33,1:12:33,21:51:36
38,Friday,4:53:43,13:58:02,0:51:57
39,Wednesday,0:08:32,22:42:15,14:55:37
40,Friday,22:52:35,6:02:48,22:28:36
41,Thursday,8:34:54,8:17:33,9:41:37
42,Thursday,18:32:44,15:52:33,12:19:21
43,Friday,2:44:39,1:31:02,1:28:46
44,Monday,21:55:53,5:07:32,11:34:07
45,Wednesday,11:05:40,17:00:14,13:13:47
46,Friday,12:49:00,4:16:29,23:36:03
47,Wednesday,19:30:39,2:54:38,3:04:12
48,Wednesday,4:37:36,12:43:34,7:30:04
49,Thursday,14:56:40,22:20:55,10:36:53
50,Friday,20:17:59,1:13:10,7:18:57
51,Tuesday,6:31:14,8:10:56,16:37:52
52,Friday,8:49:14,8:31:52,2:36:07
53,Tuesday,7:23:25,22:52:00,15:59:54
54,Wednesday,3:39:45,23:29:18,12:46:46
55,Wednesday,7:36:08,19:43:57,10:29:44
56,Thursday,12:15:55,10:48:40,11:35:43
57,Friday,8:31:05,6:27:07,11:57:40
58,Monday,18:03:13,6:40:03,12:54:52
59,Thursday,6:04:29,22:36:32,6:06:30
60,Monday,21:08:15,22:38:16,4:22:09
61,Monday,6:50:59,5:26:00,18:56:54
62,Monday,14:35:13,1:33:41,23:53:16
63,Thursday,15:05:13,16:14:22,21:21:46
64,Friday,22:04:49,9:50:05,15:05:05
65,Tuesday,5:59:39,17:20:50,21:56:11
66,Friday,1:16:56,8:29:49,15:01:00
67,Friday,4:07:03,6:44:26,3:59:24
68,Tuesday,15:46:02,16:31:32,21:24:33
69,Monday,18:15:18,12:12:45,9:16:33
70,Tuesday,23:06:25,11:04:41,13:51:25
71,Monday,15:06:40,15:53:02,1:09:46
72,Friday,4:34:09,22:05:07,13:16:06
73,Tuesday,12:24:18,12:48:09,6:11:13
74,Tuesday,10:28:10,17:25:42,5:23:54
75,Monday,8:16:13,17:48:48,15:32:44
76,Friday,8:32:57,5:42:53,12:30:57
77,Wednesday,19:35:34,16:03:41,20:10:08
78,Friday,5:13:14,21:34:43,1:20:29
79,Monday,23:53:14,11:27:47,4:41:21
80,Friday,6:11:52,14:27:22,4:12:36
81,Monday,14:14:16,18:33:35,7:52:29
82,Monday,20:14:34,19:39:29,6:09:40
83,Tuesday,1:43:57,23:43:01,6:14:49
84,Thursday,17:57:45,23:53:09,10:00:15
85,Wednesday,6:32:51,22:12:14,10:29:53
86,Thursday,4:14:30,2:24:02,4:59:25
87,Thursday,15:47:45,23:41:50,19:36:08
88,Wednesday,4:45:22,23:51:48,23:26:00
89,Monday,7:50:23,2:48:37,5:55:40
90,Tuesday,10:31:18,23:28:01,6:13:03
91,Monday,1:52:58,22:13:12,12:12:14
92,Thursday,22:52:31,19:22:02,1:53:38
93,Friday,0:02:28,14:11:37,17:09:42
94,Monday,11:23:20,3:22:14,20:01:31
95,Tuesday,22:30:11,12:17:24,21:40:23
96,Wednesday,8:17:48,2:31:06,3:13:35
97,Tuesday,4:41:39,2:50:15,16:21:37
98,Monday,7:56:28,14:30:12,8:42:45
99,Tuesday,21:57:09,7:27:14,18:54:39
100,Tuesday,14:31:32,11:59:06,23:05:56
101,Friday,10:39:36,9:20:54,7:32:33
102,Tuesday,13:37:59,13:32:59,4:50:42
103,Tuesday,14:54:32,5:53:26,7:27:20
104,Friday,4:06:07,18:09:52,7:29:30
105,Thursday,2:18:36,18:05:48,4:28:46
106,Friday,10:46:52,10:18:52,12:29:10
107,Wednesday,8:14:54,21:17:07,4:39:04
108,Monday,9:15:18,22:41:41,12:28:01
109,Wednesday,8:00:08,12:11:54,13:16:57
110,Thursday,23:20:53,7:25:49,19:49:14
111,Tuesday,8:39:42,19:37:32,8:53:54
112,Monday,1:22:03,19:31:10,5:39:58
113,Tuesday,5:29:02,1:33:26,5:40:55
114,Friday,21:56:24,7:59:03,12:00:12
115,Tuesday,22:51:59,16:03:07,5:56:07
116,Wednesday,3:45:10,7:15:50,5:13:22
117,Tuesday,3:17:20,2:54:42,19:54:11
118,Friday,5:31:10,1:38:20,21:53:13
119,Monday,22:38:36,9:35:05,14:42:32
120,Wednesday,1:54:00,15:58:11,10:11:01
121,Tuesday,20:52:06,11:50:28,20:05:44
122,Tuesday,8:22:23,18:43:14,10:50:59
123,Friday,19:10:54,3:51:25,1:28:30
124,Wednesday,17:08:58,16:16:44,9:45:17
125,Tuesday,19:26:36,7:19:18,15:42:37
126,Friday,1:29:37,21:40:19,4:37:33
127,Monday,6:54:56,23:37:34,0:49:46
128,Tuesday,14:40:42,4:03:44,6:28:04
129,Monday,17:02:41,17:18:00,4:26:15
130,Tuesday,11:00:09,9:26:01,15:42:37
131,Wednesday,14:21:41,5:21:43,20:46:35
132,Friday,17:56:17,9:57:28,5:39:29
133,Monday,9:55:32,7:03:37,0:21:24
134,Friday,22:47:57,6:55:04,7:48:32
135,Tuesday,22:05:30,15:35:34,19:02:51
136,Tuesday,3:00:45,16:06:57,11:32:46
137,Monday,10:30:58,8:24:51,5:47:01
138,Tuesday,23:33:25,23:19:11,12:43:34
139,Thursday,3:59:22,15:11:01,18:26:50
140,Monday,15:38:05,14:40:46,0:36:41
141,Monday,0:23:49,0:27:51,21:40:14
142,Monday,15:13:50,14:46:50,18:57:19
143,Monday,9:32:08,19:22:55,0:20:18
144,Monday,17:20:41,9:41:49,12:28:59
145,Thursday,1:02:28,10:00:52,4:03:36
146,Friday,23:24:31,2:14:46,2:30:13
147,Thursday,13:17:20,13:29:31,21:08:51
148,Thursday,18:17:24,2:01:44,1:28:31
149,Tuesday,14:44:58,13:50:49,22:02:11
150,Wednesday,12:55:31,4:25:45,4:52:44
151,Thursday,9:06:22,5:51:11,13:41:40
152,Tuesday,17:31:31,2:40:19,13:42:05
153,Friday,11:56:41,5:57:13,9:47:05
154,Wednesday,17:39:33,4:44:28,15:02:37
155,Monday,21:06:49,2:15:53,8:50:32
156,Friday,14:50:22,13:39:35,2:50:31
157,Wednesday,14:06:39,3:04:48,18:30:29
158,Thursday,2:48:13,5:39:49,9:14:35
159,Monday,12:28:59,7:15:55,22:36:15
160,Monday,11:30:12,12:13:52,19:34:30
161,Thursday,7:52:26,19:38:09,9:58:24
162,Monday,18:26:14,2:13:55,22:01:42
163,Tuesday,10:41:10,23:37:30,15:09:25
164,Wednesday,5:03:28,8:12:38,16:40:50
165,Tuesday,10:11:00,8:59:45,20:50:08
166,Thursday,10:12:08,10:01:51,4:10:10
167,Tuesday,14:38:47,18:13:11,11:04:17
168,Friday,8:15:12,21:53:53,4:01:58
169,Tuesday,13:00:50,6:52:49,15:32:35
170,Friday,15:45:43,20:16:28,14:37:16
171,Friday,23:52:26,23:17:25,13:10:33
172,Friday,12:02:10,8:54:00,22:49:05
173,Friday,10:12:55,12:53:13,21:49:10
174,Wednesday,16:50:27,13:55:48,23:22:05
175,Wednesday,20:36:54,17:17:05,11:36:53
176,Friday,18:48:06,1:24:14,22:49:18
177,Tuesday,4:41:35,7:07:37,18:57:09
178,Tuesday,16:48:08,19:52:36,0:43:39
179,Tuesday,13:20:56,14:43:02,15:16:22
180,Friday,18:22:31,0:13:59,0:12:22
181,Monday,1:59:37,4:29:38,4:06:33
182,Tuesday,4:26:45,8:26:36,5:51:09
183,Monday,17:20:50,18:04:55,13:13:08
184,Thursday,10:24:04,6:21:03,0:56:43
185,Tuesday,15:17:22,20:50:21,22:36:26
186,Tuesday,3:05:42,0:32:01,9:54:54
187,Tuesday,1:27:17,10:13:36,7:02:07
188,Wednesday,13:05:52,13:29:56,22:05:15
189,Friday,10:24:53,12:31:40,18:30:09
190,Wednesday,9:58:46,2:17:40,22:24:40
191,Friday,0:57:00,21:12:30,8:14:58
192,Thursday,8:47:22,12:26:53,14:57:01
193,Thursday,0:35:17,16:00:16,15:50:24
194,Thursday,2:12:44,2:48:36,11:32:56
195,Friday,1:59:31,12:27:48,19:27:23
196,Tuesday,1:07:02,13:21:44,11:27:13
197,Wednesday,2:47:14,16:07:19,7:36:01
198,Friday,15:36:43,11:39:39,0:40:24
199,Thursday,23:16:09,15:51:51,23:53:05
200,Thursday,23:47:58,7:37:24,20:32:03
201,Monday,0:15:32,2:01:58,14:43:25
202,Friday,11:17:28,18:40:05,11:58:43
203,Monday,14:52:21,7:25:49,3:59:36
204,Thursday,16:17:09,0:36:35,5:07:30
205,Friday,4:02:31,13:38:41,20:44:48
206,Monday,14:38:18,9:58:10,9:05:43
207,Friday,15:48:37,20:29:47,5:52:42
208,Friday,1:50:12,23:59:56,23:10:55
209,Thursday,18:43:46,18:26:16,8:26:27
210,Wednesday,14:45:50,22:21:40,22:14:19
211,Wednesday,1:11:22,18:42:53,20:42:59
212,Friday,10:19:02,15:42:06,22:24:27
213,Wednesday,13:00:51,4:10:35,14:05:37
214,Thursday,6:25:18,13:59:52,12:00:48
215,Tuesday,5:27:05,19:36:32,23:12:01
216,Thursday,13:16:19,16:56:59,14:42:34
217,Friday,7:20:25,19:12:21,12:07:07
218,Tuesday,9:35:05,7:08:44,22:55:24
219,Tuesday,18:48:34,5:26:30,20:56:01
220,Friday,10:48:41,8:15:56,6:52:12
221,Wednesday,19:09:51,21:35:03,10:19:54
222,Friday,21:02:17,18:30:27,12:14:01
223,Wednesday,1:44:15,9:03:04,10:49:13
224,Tuesday,21:35:04,20:45:10,0:10:57
225,Wednesday,16:22:04,15:35:43,15:11:42
226,Tuesday,16:13:57,6:08:42,6:12:17
227,Thursday,20:51:15,10:51:29,7:18:32
228,Friday,7:55:29,20:44:13,4:17:40
229,Tuesday,0:20:13,5:44:11,22:41:00
230,Tuesday,6:38:59,20:35:40,6:30:03
231,Friday,20:50:39,23:40:47,1:11:10
232,Tuesday,3:17:55,15:25:17,15:40:47
233,Tuesday,14:34:27,0:07:11,18:25:09
234,Wednesday,15:35:21,9:43:28,0:15:25
235,Thursday,21:58:38,23:11:06,15:42:55
236,Friday,11:10:15,12:44:09,21:42:45
237,Friday,17:36:37,18:46:06,5:27:59
238,Wednesday,22:10:15,5:46:48,5:13:41
239,Thursday,8:25:34,11:29:37,19:08:24
240,Friday,13:31:43,9:20:42,2:05:32
241,Friday,23:38:57,19:38:00,22:56:57
242,Monday,20:56:33,12:56:53,8:43:35
243,Friday,18:35:07,9:23:47,3:39:48
244,Tuesday,11:51:28,21:56:36,0:05:19
245,Friday,14:52:24,8:20:41,11:26:12
246,Wednesday,18:45:04,6:54:41,14:47:30
247,Friday,1:44:44,9:16:44,5:42:02
248,Monday,5:18:25,10:46:18,9:19:00
249,Monday,17:03:14,0:50:07,19:29:06
250,Friday,5:07:34,22:43:12,21:42:16
251,Wednesday,13:22:30,7:19:51,0:24:04
252,Wednesday,1:30:50,21:03:12,10:42:37
253,Wednesday,16:51:53,23:17:48,0:22:46
254,Tuesday,16:51:15,0:31:28,23:17:58
255,Thursday,4:51:58,5:06:37,3:57:04
256,Friday,8:48:27,16:03:17,9:58:13
257,Friday,7:32:49,3:22:26,8:06:24
258,Tuesday,18:20:29,22:28:29,15:22:16
259,Thursday,9:16:51,22:41:56,17:10:37
260,Thursday,20:26:41,7:18:37,19:49:04
261,Friday,6:58:40,23:59:08,9:53:29
262,Monday,8:23:12,7:32:20,14:35:51
263,Monday,16:04:52,9:43:34,7:35:46
264,Tuesday,19:57:17,18:05:08,8:31:26
265,Tuesday,18:15:58,16:04:00,8:18:31
266,Tuesday,8:04:38,4:34:24,10:13:15
267,Thursday,23:55:11,21:58:35,21:19:38
268,Tuesday,0:41:20,5:09:18,11:43:03
269,Wednesday,9:59:31,22:19:43,14:02:44
270,Monday,20:52:55,21:17:51,15:47:56
